,BOX_187_211_211,BOX_167_036_51,BOX_183_523_442,BOX_208_146_208,BOX_123_133_113,BOX_106_212_26,BOX_149_291_324,BOX_105_006_13,BOX_183_512_122,BOX_209_444_278,BOX_183_461_99,BOX_116_100_9,BOX_104_046_14,BOX_138_530_281,BOX_078_113_82,BOX_115_076_8,BOX_183_140_13,BOX_209_318_199,BOX_187_474_59,BOX_166_072_95,BOX_094_057_54,BOX_182_180_18,BOX_209_213_313,BOX_062_006_14,BOX_105_060_163,BOX_173_048_36,BOX_166_122_85,BOX_180_095_131,BOX_146_193_1,BOX_145_178_178,BOX_160_122_240,BOX_138_399_112,BOX_136_178_53,BOX_161_294_102,BOX_209_477_79,BOX_078_089_10,BOX_194_038_77,BOX_136_111_9,BOX_149_051_44,BOX_074_016_63
1984,581.6202523251839,1072.8487779690604,793.4326295796973,446.19400118526465,1003.0791832525027,1023.0830071563198,946.781289413025,1204.8893888401085,837.1734431267716,583.8528204923515,517.040574166509,1107.4222870886806,884.3058662578645,856.0017706086473,794.0304556566731,1055.0075841902099,476.20351101684963,468.0354164191486,315.3736875666629,817.1013318447224,1066.1780310503061,811.3314065810115,399.8245246702984,765.0123630816107,847.6795675657609,581.5590654694269,885.6197048783287,465.2245921565139,1294.3296661212596,1051.1206030471926,795.6305983227314,1082.454343426027,1061.740741555373,722.4404041845503,802.1890371176452,469.1844566880036,622.7852524788883,779.5901788906983,941.6009064701034,953.8502377720267
1985,581.1659340256397,1026.8157684569371,793.4326295796973,446.19400118526465,996.8793460387591,1023.0830071563198,937.8202419003802,1204.8893888401085,883.6987802167973,577.7533398705596,512.5652262961617,1107.4222870886806,884.3058662578645,866.1989239012373,825.7750907048771,1055.0075841902099,476.20351101684963,456.7259422402862,298.3492509696993,833.4376362656867,1075.8890828153603,840.9481286325171,366.9194999876981,765.0123630816107,847.6795675657609,591.2938022663702,882.0218128624725,494.8768569532267,1294.3296661212596,1051.1206030471926,787.3967669334647,1070.8221644895723,1069.7911030451262,737.9624794058917,806.1152365571592,471.1981378539909,660.3381715077102,779.5901788906983,941.6009064701034,935.7358360663933
1986,579.9843227190673,1036.6436369695275,803.2017037199563,451.03586941063185,1002.4190217409597,1023.0830071563198,956.0870959015717,1204.8893888401085,906.5288547628323,548.5939424582775,528.9520027900678,1068.926514386631,884.3058662578645,874.4059879771256,786.9821544382668,1024.9216441034769,483.01208206567566,472.1730570892035,292.574951949467,831.4041991274992,1085.6001345804145,826.8907284690782,384.44402156790596,765.0123630816107,847.6795675657609,582.8787706240279,878.4239208466164,468.10346787027714,1294.3296661212596,1051.1206030471926,797.7280019393794,1079.9360438288106,1064.8363017342003,739.5180315822437,810.0414359966732,473.21181901997807,656.5044853087294,779.5901788906983,941.6009064701034,897.6261837238786
1987,580.535505834004,1002.6676316849458,831.5967534855541,445.0670946151136,995.4308858286537,1023.0830071563198,938.0138009855139,1202.4390503138159,902.0337675531804,578.0983872579367,531.2518950609544,1131.381638657324,884.3058662578645,860.7420463712082,834.2745744607856,1034.0460769667077,546.6374407177176,454.66155710733096,360.401795310414,835.9886689419742,1079.1709265239176,835.6076221954942,365.41485406668573,765.0123630816107,847.6795675657609,576.4846135039863,882.0184416225288,488.9538226590665,1294.3296661212596,1051.1206030471926,785.6974251286268,1076.695487143826,1065.936898228315,730.2712169336895,813.6383078341534,462.2288742296228,600.0665250609638,777.2890810875696,941.6009064701034,971.5407937854712
1988,581.0866889489407,973.3772512957971,836.9746275075747,447.3642356561901,1008.3479238114875,1021.0716339070877,948.8001901814349,1202.7627746988996,881.8915214175767,582.5999955091202,516.2430561550956,1079.3200016576059,884.3058662578645,871.6574031478277,823.7684591056791,1003.332137111146,479.2460877432361,462.9315215550356,349.4703264418134,822.482742739419,1065.6341797053897,857.5787619969298,379.12617829683103,761.9054640833355,824.5994876388755,596.3602340067188,877.4491744663486,489.00859390718824,1294.3296661212596,1096.211079848002,790.304601179208,1061.6653488194256,1067.0374947224293,739.7149018125316,809.5124489332381,463.2685553603021,647.4663746363005,776.9119284163313,940.9172632966075,894.8735146099883
1989,593.2362343565463,967.2576177813004,812.2293979267141,457.3111506562133,1021.2649617943213,1017.3257897361932,961.9528690140629,1196.5637554627808,887.5618781534403,586.0864461606214,516.9664119834656,1082.2295350476886,901.6003541567751,876.1325078173138,813.2623437505725,1025.2366537180787,501.0904227849045,462.9391116597327,367.4050371626261,833.2247863689098,1081.2504056933285,834.0693391929348,377.6759774872989,764.7743008483362,838.87227090947,582.4653240404654,877.7755149393276,492.38865040994494,1294.3296661212596,1099.0067389338963,799.2148924168669,1077.5160033601846,1068.150953789596,742.5866937100823,815.7574894820536,463.92073606391085,646.6007816921335,776.534775745093,942.0451404330017,928.4431287173472
1990,589.3199880824403,997.8821336294399,811.2502561662875,451.0400877349759,1017.4959411783212,999.6696187930168,935.753793914926,1200.6842335815059,878.0573900561562,583.5825101920361,519.4666268894298,1082.6916476320835,905.7012187846452,866.0644047005372,808.8074504843443,1047.1411703250114,473.00445362543996,457.494112148536,389.10827095130287,829.1826848758269,1060.1855559466685,827.3542794431531,372.53610357047245,778.6447268016799,827.6670913023803,587.1814502208623,878.5625476995996,494.88633636264177,1294.3296661212596,1087.1864021381996,796.9597854029167,1079.955402077697,1066.43650110836,736.5077124729513,822.0025300308691,464.5729167675196,664.8369942961806,778.7574891397409,941.9597996781549,909.563060795466
1991,586.2250716396978,954.5659516071281,837.4289873388506,437.82150248351,1013.7269205623211,1015.9593402931841,931.3818833759811,1215.7143051514652,880.5776902781137,581.8055808408019,517.8769484482681,1083.7023025309452,897.5454952836211,851.3296552534557,805.5439285990894,1019.0185062777223,476.0663509539425,457.52728259705754,387.14364936082364,832.1925681625197,1073.1421633636107,862.7019582865637,370.0709056238344,761.4587975721963,825.8718318102784,584.2867771429718,880.7211716744878,469.37785482651424,1220.423113832636,1105.647606364434,798.2282752001872,1078.893805853024,1065.4067852665164,740.0275718845796,819.0950072543308,450.1737266846852,635.5095833204762,780.9802025343887,936.4346235735114,882.9025920669052
1992,583.1301551969553,907.6429844607362,804.7768793916625,440.787136552876,1009.957899946321,1005.7613360172691,958.7594165207438,1202.7627746988996,883.0979905000711,580.0286514895676,515.8343539158764,1101.253735855103,876.4281955168558,849.4562260160865,791.3248807155794,990.8958422304332,470.39889225249203,457.560453045579,385.1790277703444,835.2024514492125,1090.6157717425276,796.7287698279152,367.60570767719634,760.7599903342076,828.6943079057319,581.3921040650813,879.8651450101788,469.7839775883065,1377.5379558249886,1075.305581648233,787.3967669334647,1066.812811090557,1065.8140533348203,734.7883721011905,816.1874844777925,447.7794844635982,612.5142127487917,765.4761028330666,942.4631261902806,865.6830855593479
1993,580.0352387542129,910.4471329808797,792.9653575237005,443.75277062224205,1006.1888793303208,1011.5726630624627,924.7466822436451,1203.1992034186658,906.2493630474066,578.2517221383332,517.0435830154083,1118.8051691792612,889.7259068476027,837.1617676123485,794.5377360845732,977.7244396120734,473.2098502933959,457.59362349410054,383.2144061798651,838.2123347359054,1080.8556781890027,887.9854780513158,365.1405097305584,755.2021622824917,829.731509450574,582.5865221604263,879.00911834587,494.9263135093096,1328.897955141846,1040.3841899832441,789.2146381622911,1075.9846591483833,1066.7980626208177,739.2588647976287,813.2799617012543,445.38524224251125,644.9659969989773,790.6408618812518,969.5715528945009,887.3573284215983
